Date,AORD
1985-07-26,934.599976
1985-07-29,934.700012
1985-07-30,933.200012
1985-07-31,936.099976
1985-08-01,939.799988
1985-08-02,936.700012
1985-08-05,940.5
1985-08-06,937.099976
1985-08-07,931.799988
1985-08-08,935.099976
1985-08-09,941.700012
1985-08-12,949.700012
1985-08-13,954.200012
1985-08-14,956.400024
1985-08-15,956.900024
1985-08-16,956.099976
1985-08-19,954.200012
1985-08-20,955.900024
1985-08-21,956.599976
1985-08-22,954
1985-08-23,945.200012
1985-08-26,941.799988
1985-08-27,942
1985-08-28,946.900024
1985-08-29,945.799988
1985-08-30,937.799988
1985-09-02,937.200012
1985-09-03,937.299988
1985-09-04,934.400024
1985-09-05,934.400024
1985-09-06,943.400024
1985-09-09,955
1985-09-10,956
1985-09-11,956
1985-09-12,955.299988
1985-09-13,963.299988
1985-09-16,963.299988
1985-09-17,962
1985-09-18,945.400024
1985-09-19,943.200012
1985-09-20,945.700012
1985-09-23,959.599976
1985-09-24,960.799988
1985-09-25,961.299988
1985-09-26,971.700012
1985-09-27,980.5
1985-09-30,987
1985-10-01,994.200012
1985-10-02,1009.200012
1985-10-03,1006.5
1985-10-04,1011.900024
1985-10-07,1017
1985-10-08,1017.599976
1985-10-09,1023.599976
1985-10-10,1035.199951
1985-10-11,1033.400024
1985-10-14,1036.5
1985-10-15,1030.800049
1985-10-16,1033.900024
1985-10-17,1034
1985-10-18,1035.199951
1985-10-21,1040.800049
1985-10-22,1042.400024
1985-10-23,1046
1985-10-24,1051.699951
1985-10-25,1052.099976
1985-10-28,1045.599976
1985-10-29,1032.599976
1985-10-30,1045.599976
1985-10-31,1027
1985-11-01,1045.599976
1985-11-04,1015.5
1985-11-05,1014.599976
1985-11-06,1005.799988
1985-11-07,1002
1985-11-08,1012.400024
1985-11-11,1031.599976
1985-11-12,1031.599976
1985-11-13,1010.299988
1985-11-14,1009.900024
1985-11-15,1003.5
1985-11-18,995.299988
1985-11-19,983.900024
1985-11-20,986.400024
1985-11-21,984.299988
1985-11-22,991.900024
1985-11-25,1000.200012
1985-11-26,996.400024
1985-11-27,994.599976
1985-11-28,991.5
1985-11-29,990.700012
1985-12-02,988.200012
1985-12-03,986.700012
1985-12-04,987.599976
1985-12-05,986.200012
1985-12-06,984.299988
1985-12-09,985.799988
1985-12-10,980.799988
1985-12-11,980.700012
1985-12-12,977.700012
1985-12-13,976
1985-12-16,974.799988
1985-12-17,980.5
1985-12-18,986
1985-12-19,987
1985-12-20,986.599976
1985-12-23,986.599976
1985-12-24,994.400024
1985-12-27,997.200012
1985-12-30,1001.599976
1985-12-31,1003.799988
1986-01-02,1010.799988
1986-01-03,1020.400024
1986-01-06,1028
1986-01-07,1032.400024
1986-01-08,1041.599976
1986-01-09,1043.900024
1986-01-10,1044.199951
1986-01-13,1051.099976
1986-01-14,1048.900024
1986-01-15,1050.5
1986-01-16,1060.900024
1986-01-17,1066.699951
1986-01-20,1065.599976
1986-01-21,1067.699951
1986-01-22,1069
1986-01-23,1059.900024
1986-01-24,1052.900024
1986-01-28,1055.599976
1986-01-29,1060.5
1986-01-30,1074.199951
1986-01-31,1075.099976
1986-02-03,1072.900024
1986-02-04,1075.599976
1986-02-05,1060.699951
1986-02-06,1066.900024
1986-02-07,1069.400024
1986-02-10,1068.900024
1986-02-11,1064.5
1986-02-12,1055.199951
1986-02-13,1039.699951
1986-02-14,1046.699951
1986-02-17,1048.5
1986-02-18,1047.099976
1986-02-19,1049.599976
1986-02-20,1052.300049
1986-02-21,1057
1986-02-24,1062
1986-02-25,1046.599976
1986-02-26,1047
1986-02-27,1041.599976
1986-02-28,1041.599976
1986-03-03,1041.599976
1986-03-04,1058.300049
1986-03-05,1058.400024
1986-03-06,1053.699951
1986-03-07,1055
1986-03-10,1055
1986-03-11,1063.099976
1986-03-12,1076.900024
1986-03-13,1085.800049
1986-03-14,1089.5
1986-03-17,1112.199951
1986-03-18,1124.400024
1986-03-19,1123.300049
1986-03-20,1128.099976
1986-03-21,1136.699951
1986-03-24,1156.800049
1986-03-25,1168.699951
1986-03-26,1165.699951
1986-03-27,1136.5
1986-04-01,1131.5
1986-04-02,1136
1986-04-03,1144.199951
1986-04-04,1153.900024
1986-04-07,1148.5
1986-04-08,1148.300049
1986-04-09,1153.900024
1986-04-10,1195.599976
1986-04-11,1214.599976
1986-04-14,1202.199951
1986-04-15,1198.5
1986-04-16,1202.599976
1986-04-17,1216.800049
1986-04-18,1218.400024
1986-04-21,1218.400024
1986-04-22,1206.5
1986-04-23,1207.300049
1986-04-24,1210.400024
1986-04-28,1206.900024
1986-04-29,1209.099976
1986-04-30,1210.599976
1986-05-01,1212.900024
1986-05-02,1224.699951
1986-05-05,1231.400024
1986-05-06,1238.300049
1986-05-07,1247
1986-05-08,1242.599976
1986-05-09,1232.099976
1986-05-12,1218.300049
1986-05-13,1201.800049
1986-05-14,1222.400024
1986-05-15,1222.400024
1986-05-16,1194.300049
1986-05-19,1197.900024
1986-05-20,1176.300049
1986-05-21,1172.900024
1986-05-22,1174.599976
1986-05-23,1191.699951
1986-05-26,1204.599976
1986-05-27,1200.900024
1986-05-28,1208.800049
1986-05-29,1228.300049
1986-05-30,1241
1986-06-02,1229.300049
1986-06-03,1220.5
1986-06-04,1223.400024
1986-06-05,1227.800049
1986-06-06,1230.199951
1986-06-10,1222.099976
1986-06-11,1225.400024
1986-06-12,1218.599976
1986-06-13,1216.300049
1986-06-16,1209.099976
1986-06-17,1197.199951
1986-06-18,1200.599976
1986-06-19,1210.800049
1986-06-20,1214.699951
1986-06-23,1214.800049
1986-06-24,1205.900024
1986-06-25,1195.699951
1986-06-26,1190.099976
1986-06-27,1183.599976
1986-06-30,1179.800049
1986-07-01,1175.800049
1986-07-02,1149.900024
1986-07-03,1135.800049
1986-07-04,1142.699951
1986-07-07,1136.199951
1986-07-08,1125.199951
1986-07-09,1122.300049
1986-07-10,1134
1986-07-11,1139.900024
1986-07-14,1137.099976
1986-07-15,1122.199951
1986-07-16,1127
1986-07-17,1126.900024
1986-07-18,1130.400024
1986-07-21,1135.400024
1986-07-22,1136.800049
1986-07-23,1137.699951
1986-07-24,1128.199951
1986-07-25,1118.800049
1986-07-28,1094.699951
1986-07-29,1105.099976
1986-07-30,1108.699951
1986-07-31,1123.5
1986-08-01,1124.900024
1986-08-04,1120.199951
1986-08-05,1127.199951
1986-08-06,1139.599976
1986-08-07,1150.5
1986-08-08,1153.099976
1986-08-11,1153.900024
1986-08-12,1149.199951
1986-08-13,1160.199951
1986-08-14,1163.800049
1986-08-15,1176.5
1986-08-18,1185.900024
1986-08-19,1185.300049
1986-08-20,1177.599976
1986-08-21,1179.5
1986-08-22,1183.800049
1986-08-25,1179.199951
1986-08-26,1179.300049
1986-08-27,1182.400024
1986-08-28,1183.300049
1986-08-29,1192.300049
1986-09-01,1200
1986-09-02,1211.400024
1986-09-03,1220
1986-09-04,1231.699951
1986-09-05,1238.5
1986-09-08,1235.5
1986-09-09,1220.699951
1986-09-10,1232.400024
1986-09-11,1235.300049
1986-09-12,1235.900024
1986-09-15,1224.400024
1986-09-16,1222.099976
1986-09-17,1214.300049
1986-09-18,1199.300049
1986-09-19,1210.5
1986-09-22,1223.800049
1986-09-23,1234.099976
1986-09-24,1235.900024
1986-09-25,1250.5
1986-09-26,1259
1986-09-29,1257.199951
1986-09-30,1257.199951
1986-10-01,1253.599976
1986-10-02,1275.599976
1986-10-03,1297.300049
1986-10-06,1310.800049
1986-10-07,1329.400024
1986-10-08,1332.199951
1986-10-09,1338.099976
1986-10-10,1329.900024
1986-10-13,1338.699951
1986-10-14,1350.5
1986-10-15,1347.800049
1986-10-16,1353.400024
1986-10-17,1367.300049
1986-10-20,1361.300049
1986-10-21,1372.699951
1986-10-22,1372.400024
1986-10-23,1367.300049
1986-10-24,1362.300049
1986-10-27,1348.599976
1986-10-28,1357.5
1986-10-29,1374.400024
1986-10-30,1365
1986-10-31,1377.5
1986-11-03,1375.5
1986-11-04,1381.099976
1986-11-05,1390.199951
1986-11-06,1393.300049
1986-11-07,1403.5
1986-11-10,1400.699951
1986-11-11,1383.900024
1986-11-12,1380.900024
1986-11-13,1379
1986-11-14,1362.300049
1986-11-17,1326.699951
1986-11-18,1316.400024
1986-11-19,1335.800049
1986-11-20,1331
1986-11-21,1346.099976
1986-11-24,1337.599976
1986-11-25,1350.900024
1986-11-26,1363.599976
1986-11-27,1371.099976
1986-11-28,1379.599976
1986-12-01,1385.5
1986-12-02,1376.800049
1986-12-03,1390.5
1986-12-04,1411.099976
1986-12-05,1420.300049
1986-12-08,1427.699951
1986-12-09,1440.300049
1986-12-10,1431
1986-12-11,1437.400024
1986-12-12,1437.699951
1986-12-15,1437.300049
1986-12-16,1446.699951
1986-12-17,1453.800049
1986-12-18,1453.5
1986-12-19,1455.900024
1986-12-22,1460.699951
1986-12-23,1464
1986-12-24,1462.300049
1986-12-29,1467.400024
1986-12-30,1470.5
1986-12-31,1473.099976
1987-01-02,1486.900024
1987-01-05,1503.099976
1987-01-06,1523.099976
1987-01-07,1534.099976
1987-01-08,1529.599976
1987-01-09,1535.599976
1987-01-12,1549.699951
1987-01-13,1553.599976
1987-01-14,1526
1987-01-15,1540.199951
1987-01-16,1531.699951
1987-01-19,1528.5
1987-01-20,1534.099976
1987-01-21,1528.199951
1987-01-22,1534.699951
1987-01-23,1539.599976
1987-01-27,1533.5
1987-01-28,1527.5
1987-01-29,1513.900024
1987-01-30,1496.300049
1987-02-02,1486.699951
1987-02-03,1502.5
1987-02-04,1512.900024
1987-02-05,1533.400024
1987-02-06,1539.199951
1987-02-09,1554.699951
1987-02-10,1553.699951
1987-02-11,1559.900024
1987-02-12,1574.800049
1987-02-13,1575.800049
1987-02-16,1573.900024
1987-02-17,1573.199951
1987-02-18,1578.699951
1987-02-19,1589.599976
1987-02-20,1605.300049
1987-02-23,1606.300049
1987-02-24,1597.900024
1987-02-25,1584
1987-02-26,1593
1987-02-27,1614.099976
1987-03-02,1622.900024
1987-03-03,1615.599976
1987-03-04,1624.300049
1987-03-05,1636.5
1987-03-06,1646.599976
1987-03-09,1652
1987-03-10,1635.300049
1987-03-11,1634.199951
1987-03-12,1625.699951
1987-03-13,1636.300049
1987-03-16,1629.099976
1987-03-17,1629.400024
1987-03-18,1639.199951
1987-03-19,1648.599976
1987-03-20,1652.199951
1987-03-23,1656.800049
1987-03-24,1663.800049
1987-03-25,1679
1987-03-26,1690.099976
1987-03-27,1690.900024
1987-03-30,1711.5
1987-03-31,1689.900024
1987-04-01,1691.099976
1987-04-02,1696.800049
1987-04-03,1721.5
1987-04-06,1746.400024
1987-04-07,1755.099976
1987-04-08,1758.5
1987-04-09,1771.199951
1987-04-10,1787.400024
1987-04-13,1799.699951
1987-04-14,1777.199951
1987-04-15,1764.800049
1987-04-16,1763.5
1987-04-21,1763.300049
1987-04-22,1754.699951
1987-04-23,1743.300049
1987-04-24,1776.699951
1987-04-27,1799.900024
1987-04-28,1749.300049
1987-04-29,1756.800049
1987-04-30,1749.599976
1987-05-01,1753.300049
1987-05-04,1765.400024
1987-05-05,1790.599976
1987-05-06,1796
1987-05-07,1823.300049
1987-05-08,1827.099976
1987-05-11,1820.599976
1987-05-12,1843.699951
1987-05-13,1849.199951
1987-05-14,1848.5
1987-05-15,1848.5
1987-05-18,1859.300049
1987-05-19,1838.699951
1987-05-20,1854.599976
1987-05-21,1842.900024
1987-05-22,1826.099976
1987-05-25,1802.300049
1987-05-26,1803
1987-05-27,1756.699951
1987-05-28,1744.599976
1987-05-29,1770.800049
1987-06-01,1776.199951
1987-06-02,1758.300049
1987-06-03,1776.199951
1987-06-04,1772.400024
1987-06-05,1777.900024
1987-06-09,1781.5
1987-06-10,1788.400024
1987-06-11,1803.599976
1987-06-12,1827.800049
1987-06-15,1818.400024
1987-06-16,1807.900024
1987-06-17,1802.800049
1987-06-18,1798.300049
1987-06-19,1798.099976
1987-06-22,1774.099976
1987-06-23,1742
1987-06-24,1739.5
1987-06-25,1742.900024
1987-06-26,1748.199951
1987-06-29,1761.900024
1987-06-30,1765.800049
1987-07-01,1774
1987-07-02,1800
1987-07-03,1833.699951
1987-07-06,1833.400024
1987-07-07,1862.800049
1987-07-08,1883.5
1987-07-09,1898.599976
1987-07-10,1915.199951
1987-07-13,1930.699951
1987-07-14,1927
1987-07-15,1934.199951
1987-07-16,1960
1987-07-17,1975.400024
1987-07-20,1977.699951
1987-07-21,1973.300049
1987-07-22,1961.5
1987-07-23,1984.900024
1987-07-24,1998
1987-07-27,1998.099976
1987-07-28,1981
1987-07-29,1999.900024
1987-07-30,2022.400024
1987-07-31,2030.199951
